product_id,product_name,category,sub_category,total_revenue,total_profit,total_qty,avg_margin,avg_discount,times_sold,profit_rank,elasticity
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,Bookcases,825.174,-117.882,9,-0.1428571428571428,0.3,1,1773,0.6458740387903146
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Furniture,Bookcases,1064.624,24.196,10,0.038823529411764736,0.09999999999999999,3,1183,0.6458740387903146
FUR-BO-10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases,2154.348,311.1836,14,0.09832352941176467,0.13,5,271,0.6458740387903146
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,723.842,-133.1092,21,-0.2366666666666666,0.18333333333333335,6,1785,0.6458740387903146
FUR-BO-10000711,"Hon Metal Bookcases, Gray",Furniture,Bookcases,851.76,229.9752,12,0.27,0.0,2,341,0.6458740387903146
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,2946.3668,-767.7436,22,-0.28717647058823526,0.332,5,1873,0.6458740387903146
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,2970.059,-78.637,28,-0.01779411764705883,0.11000000000000001,10,1755,0.6458740387903146
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,1119.195,147.0942,22,0.02317647058823525,0.16999999999999998,5,456,0.6458740387903146
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,Bookcases,90.882,-190.8522,3,-2.1,0.7,1,1803,0.6458740387903146
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,935.1972,-125.74080000000001,10,-0.11176470588235293,0.26333333333333336,3,1778,0.6458740387903146
FUR-BO-10001608,"Hon Metal Bookcases, Black",Furniture,Bookcases,1570.0775999999998,-26.972399999999993,30,-0.20808823529411766,0.244,5,1703,0.6458740387903146
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Furniture,Bookcases,424.90000000000003,27.193599999999996,6,0.1224999999999999,0.1,2,1148,0.6458740387903146
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,1263.9569999999999,-56.3214,12,-0.1395588235294118,0.21250000000000002,4,1735,0.6458740387903146
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,5492.885,15.049,26,-0.12806372549019604,0.31625,8,1342,0.6458740387903146
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Furniture,Bookcases,1014.174,-418.548,10,-0.3131862745098039,0.2833333333333333,3,1844,0.6458740387903146
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,2740.197,-975.0988,37,-0.829138655462185,0.4214285714285714,7,1881,0.6458740387903146
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,Bookcases,400.0268,-113.2606,3,-0.7053921568627451,0.51,2,1769,0.6458740387903146
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",Furniture,Bookcases,119.833,-12.6882,1,-0.1058823529411764,0.15,1,1664,0.6458740387903146
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,11046.609,90.17640000000002,27,0.0073529411764706,0.18333333333333335,6,630,0.6458740387903146
FUR-BO-10002213,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,1875.034,-70.49,15,-0.05867647058823525,0.125,4,1746,0.6458740387903146
FUR-BO-10002268,Sauder Barrister Bookcases,Furniture,Bookcases,754.7336,-294.7672,16,-0.6345588235294116,0.4066666666666667,3,1827,0.6458740387903146
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,7539.7122,780.3302,35,0.044879201680672276,0.18375,8,95,0.6458740387903146
FUR-BO-10002598,"Hon Metal Bookcases, Putty",Furniture,Bookcases,1320.228,362.70779999999996,19,0.2545,0.04,5,235,0.6458740387903146
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,5184.081,-126.44099999999996,27,-0.10089869281045759,0.26666666666666666,6,1779,0.6458740387903146
FUR-BO-10002824,Bush Mission Pointe Library,Furniture,Bookcases,748.8608,24.156800000000004,6,0.00784313725490197,0.17333333333333334,3,1184,0.6458740387903146
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,540.804,-12.290999999999997,9,0.015625,0.175,4,1661,0.6458740387903146
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,Bookcases,2487.759,410.352,15,0.15426470588235291,0.0375,4,215,0.6458740387903146
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases,1912.308,-68.1096,18,-0.05529411764705883,0.2,5,1742,0.6458740387903146
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Furniture,Bookcases,1909.8178,-78.18639999999999,19,-0.08205882352941174,0.1457142857142857,7,1752,0.6458740387903146
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases,3420.7704,-755.7516,21,-0.19117647058823528,0.24,6,1872,0.6458740387903146
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture,Bookcases,3447.84,206.87040000000002,8,0.06,0.0,2,362,0.6458740387903146
FUR-BO-10003433,Sauder Cornerstone Collection Library,Furniture,Bookcases,322.192,-81.16760000000001,14,-0.3175,0.2333333333333333,3,1757,0.6458740387903146
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,Bookcases,1473.2982000000002,73.71539999999999,18,0.02779411764705882,0.19499999999999998,6,708,0.6458740387903146
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",Furniture,Bookcases,649.376,-97.4064,14,-0.6355555555555555,0.2333333333333333,3,1761,0.6458740387903146
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,Furniture,Bookcases,1474.308,-191.86200000000002,22,-0.26785714285714285,0.25,4,1804,0.6458740387903146
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",Furniture,Bookcases,729.2339999999999,48.6156,4,-0.368888888888889,0.2333333333333333,3,907,0.6458740387903146
FUR-BO-10003893,Sauder Camden County Collection Library,Furniture,Bookcases,1368.2620000000002,-103.482,16,-0.058823529411764705,0.235,2,1763,0.6458740387903146
FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Furniture,Bookcases,802.074,106.47,14,0.1176470588235294,0.19999999999999998,3,568,0.6458740387903146
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,Bookcases,1646.9180000000001,-285.9484,12,-0.19430147058823527,0.2475,4,1826,0.6458740387903146
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases,1427.683,-8.549,10,-0.004117647058823552,0.15,4,1644,0.6458740387903146
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,Bookcases,3317.7235,135.58870000000002,34,0.02882352941176465,0.16666666666666666,9,477,0.6458740387903146
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Bookcases,3626.0056,-208.6504,34,-0.07815126050420168,0.23375,8,1809,0.6458740387903146
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,Furniture,Bookcases,2904.161,-170.83299999999997,17,-0.20441176470588235,0.2,4,1795,0.6458740387903146
FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,Furniture,Bookcases,489.37919999999997,-70.8312,4,-0.07470588235294115,0.16,2,1747,0.6458740387903146
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,Bookcases,858.858,-9.93719999999999,17,-0.03764705882352941,0.245,6,1648,0.6458740387903146
FUR-BO-10004467,Bestar Classic Bookcase,Furniture,Bookcases,1897.8102,-612.9386999999999,31,-0.4671323529411764,0.315,8,1868,0.6458740387903146
FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Furniture,Bookcases,1072.344,-78.36359999999999,9,-0.12928571428571425,0.15,2,1753,0.6458740387903146
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,4886.46,566.4674,31,0.045588235294117645,0.15,7,139,0.6458740387903146
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,1426.8878,-20.293,32,-0.07441176470588237,0.23000000000000004,9,1688,0.6458740387903146
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,15610.9656,-669.5448000000001,24,-0.06214705882352942,0.23399999999999999,5,1870,0.6458740387903146
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,Chairs,6584.64,814.416,36,0.12345238095238098,0.13333333333333333,6,91,-1.5642968182551873
FUR-CH-10000155,Global Comet Stacking Armless Chair,Furniture,Chairs,3528.79,514.366,14,0.12999999999999995,0.16666666666666666,6,163,-1.5642968182551873
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",Furniture,Chairs,1757.266,-166.00900000000001,25,-0.15895691609977322,0.17142857142857146,7,1793,-1.5642968182551873
FUR-CH-10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,Chairs,2032.35,-460.666,10,-0.23214285714285715,0.25,4,1852,-1.5642968182551873
FUR-CH-10000309,Global Comet Stacking Arm Chair,Furniture,Chairs,6084.144,697.1415,17,0.08392857142857144,0.16,5,115,-1.5642968182551873
FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,Furniture,Chairs,2647.809,49.13459999999999,34,-0.0003703703703703928,0.14444444444444446,9,899,-1.5642968182551873
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,10637.528,1927.442,51,0.16828703703703704,0.14166666666666666,12,25,-1.5642968182551873
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,4770.633,-197.5848,42,-0.11583333333333333,0.16666666666666666,9,1806,-1.5642968182551873
FUR-CH-10000553,"Metal Folding Chairs, Beige, 4/Carton",Furniture,Chairs,685.588,115.7354,23,0.1547063492063492,0.12,5,537,-1.5642968182551873
FUR-CH-10000595,Safco Contoured Stacking Chairs,Furniture,Chairs,5697.76,870.16,27,0.13541666666666666,0.125,8,84,-1.5642968182551873
FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",Furniture,Chairs,3955.676,573.7239999999999,32,0.15771604938271602,0.15555555555555556,9,134,-1.5642968182551873
FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Furniture,Chairs,2207.956,231.6544,13,0.055,0.1,2,339,-1.5642968182551873
FUR-CH-10000785,Global Ergonomic Managers Chair,Furniture,Chairs,6008.536,785.4532,39,0.12492063492063489,0.13636363636363635,11,93,-1.5642968182551873
FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,Furniture,Chairs,4626.582,750.7284000000001,18,0.14547619047619045,0.11666666666666665,6,101,-1.5642968182551873
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,2913.9139999999998,-445.391,25,-0.13633928571428572,0.2,8,1847,-1.5642968182551873
FUR-CH-10000988,Hon Olson Stacker Stools,Furniture,Chairs,5294.456,833.5952,44,0.13314285714285706,0.16,10,89,-1.5642968182551873
FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs,463.099,-80.4062,12,-0.17607142857142852,0.24,5,1756,-1.5642968182551873
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,1978.925,197.89249999999998,39,0.08898809523809524,0.16,10,375,-1.5642968182551873
FUR-CH-10001190,Global Deluxe High-Back Office Chair in Storm,Furniture,Chairs,1087.92,-149.589,10,-0.1374999999999999,0.20000000000000004,3,1789,-1.5642968182551873
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,12975.382,951.8620000000001,32,0.05919312169312169,0.2,9,74,-1.5642968182551873
FUR-CH-10001270,Harbour Creations Steel Folding Chair,Furniture,Chairs,2389.125,336.375,34,0.14375,0.1625,8,253,-1.5642968182551873
FUR-CH-10001394,Global Leather Executive Chair,Furniture,Chairs,5861.532999999999,701.98,21,0.13492063492063489,0.18571428571428572,7,112,-1.5642968182551873
FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs,2200.464,-130.98,20,-0.053973922902494316,0.14285714285714285,7,1783,-1.5642968182551873
FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,Furniture,Chairs,1686.904,-36.473600000000005,18,-0.0011111111111111367,0.15,6,1712,-1.5642968182551873
FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Furniture,Chairs,3989.734,425.75960000000003,32,0.05191043083900226,0.15714285714285717,7,202,-1.5642968182551873
FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy",Furniture,Chairs,1689.968,-114.6764,13,-0.13685714285714284,0.18,5,1771,-1.5642968182551873
FUR-CH-10001797,"Safco Chair Connectors, 6/Carton",Furniture,Chairs,881.192,170.8512,26,0.14983134920634922,0.15,4,411,-1.5642968182551873
FUR-CH-10001802,Hon Every-Day Chair Series Swivel Task Chairs,Furniture,Chairs,967.84,12.097999999999999,10,0.002050264550264506,0.19999999999999998,3,1397,-1.5642968182551873
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Chairs,8774.5,1305.6456,28,0.14499999999999996,0.1,8,48,-1.5642968182551873
FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Furniture,Chairs,1420.504,229.3922,17,0.16523148148148145,0.11666666666666668,6,344,-1.5642968182551873
FUR-CH-10001973,Office Star Flex Back Scooter Chair with White Frame,Furniture,Chairs,1775.68,-228.61880000000002,21,-0.11497732426303856,0.21428571428571427,7,1816,-1.5642968182551873
FUR-CH-10002017,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,Furniture,Chairs,245.088,14.9184,12,0.08457142857142859,0.2,5,1346,-1.5642968182551873
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,21870.576,5.684341886080802e-14,39,-0.014682539682539658,0.2,8,1585,-1.5642968182551873
FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Furniture,Chairs,694.194,-158.48579999999998,7,-0.2455357142857142,0.25,2,1790,-1.5642968182551873
FUR-CH-10002073,Hon Olson Stacker Chairs,Furniture,Chairs,5427.99,1292.1264,22,0.22590277777777776,0.07500000000000001,4,49,-1.5642968182551873
FUR-CH-10002084,Hon Mobius Operator's Chair,Furniture,Chairs,2705.7799999999997,499.3394,23,0.1853333333333333,0.04,5,170,-1.5642968182551873
FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,Furniture,Chairs,2586.1879999999996,-48.796,15,0.0035714285714286255,0.275,4,1728,-1.5642968182551873
FUR-CH-10002304,"Global Stack Chair without Arms, Black",Furniture,Chairs,901.506,44.166000000000004,44,0.0778061224489796,0.17142857142857143,7,946,-1.5642968182551873
FUR-CH-10002317,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,Furniture,Chairs,207.184,25.898,1,0.125,0.2,1,1164,-1.5642968182551873
FUR-CH-10002320,Hon Pagoda Stacking Chairs,Furniture,Chairs,6483.796,1540.704,22,0.2125,0.1,4,38,-1.5642968182551873
FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs,7582.374,832.9932000000001,24,0.0731084656084656,0.13333333333333333,6,90,-1.5642968182551873
FUR-CH-10002335,Hon GuestStacker Chair,Furniture,Chairs,6936.102,1233.0848,34,0.1595061728395062,0.1111111111111111,9,54,-1.5642968182551873
FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,Furniture,Chairs,1311.876,-42.1096,19,-0.07854875283446708,0.17142857142857143,7,1720,-1.5642968182551873
FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Furniture,Chairs,1589.406,253.8392,31,0.1537962962962963,0.11666666666666668,6,320,-1.5642968182551873
FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,4619.987999999999,486.15560000000005,37,0.07446608946608947,0.19090909090909092,11,177,-1.5642968182551873
FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",Furniture,Chairs,3641.274,234.234,64,0.06726190476190476,0.18000000000000002,15,337,-1.5642968182551873
FUR-CH-10002758,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",Furniture,Chairs,1268.696,73.194,7,0.0625,0.25,2,710,-1.5642968182551873
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,764.7,76.9798,19,0.09438775510204077,0.21428571428571427,7,690,-1.5642968182551873
FUR-CH-10002780,Office Star - Task Chair with Contemporary Loop Arms,Furniture,Chairs,600.4680000000001,47.3096,8,0.10277777777777775,0.15000000000000002,2,918,-1.5642968182551873
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",Furniture,Chairs,5436.158,-474.7414,54,-0.11275226757369615,0.18571428571428572,14,1856,-1.5642968182551873
FUR-CH-10002961,"Leather Task Chair, Black",Furniture,Chairs,1437.484,54.588,19,-0.005291005291005281,0.19999999999999998,6,841,-1.5642968182551873
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,5707.832,279.36220000000003,37,0.055634920634920634,0.22000000000000003,10,295,-1.5642968182551873
FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,Chairs,1448.839,63.8929,19,0.05218750000000001,0.1375,8,765,-1.5642968182551873
FUR-CH-10003199,Office Star - Contemporary Task Swivel Chair,Furniture,Chairs,1842.268,155.372,20,0.054021164021164,0.18333333333333335,6,438,-1.5642968182551873
FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,Chairs,3680.538,-491.175,35,-0.13830246913580246,0.18888888888888888,9,1858,-1.5642968182551873
