order_id,order_date,order_year,order_month,order_quarter,customer_id,segment,product_id,category,sub_category,region,state,city,channel,ship_mode,sales,quantity,discount,profit,profit_margin,cost,profit_per_unit,is_profitable,ship_days
CA-2016-152156,2016-11-08,2016,11,4,CG-12520,Consumer,FUR-BO-10001798,Furniture,Bookcases,South,Kentucky,Henderson,store,Second Class,261.96,2,0.0,41.9136,0.16,220.0464,20.9568,1,3
CA-2016-152156,2016-11-08,2016,11,4,CG-12520,Consumer,FUR-CH-10000454,Furniture,Chairs,South,Kentucky,Henderson,website,Second Class,731.94,3,0.0,219.582,0.3,512.3580000000001,73.194,1,3
CA-2016-138688,2016-06-12,2016,6,2,DV-13045,Corporate,OFF-LA-10000240,Office Supplies,Labels,West,California,Los Angeles,store,Second Class,14.62,2,0.0,6.8714,0.47,7.748599999999999,3.4357,1,4
US-2015-108966,2015-10-11,2015,10,4,SO-20335,Consumer,FUR-TA-10000577,Furniture,Tables,South,Florida,Fort Lauderdale,mobile_app,Standard Class,957.5775,5,0.45,-383.031,-0.4,1340.6085,-76.6062,0,7
US-2015-108966,2015-10-11,2015,10,4,SO-20335,Consumer,OFF-ST-10000760,Office Supplies,Storage,South,Florida,Fort Lauderdale,website,Standard Class,22.368,2,0.2,2.5164,0.1125,19.8516,1.2582,1,7
CA-2014-115812,2014-06-09,2014,6,2,BH-11710,Consumer,FUR-FU-10001487,Furniture,Furnishings,West,California,Los Angeles,store,Standard Class,48.86,7,0.0,14.1694,0.29,34.6906,2.0242,1,5
CA-2014-115812,2014-06-09,2014,6,2,BH-11710,Consumer,OFF-AR-10002833,Office Supplies,Art,West,California,Los Angeles,store,Standard Class,7.28,4,0.0,1.9656,0.27,5.3144,0.4914,1,5
CA-2014-115812,2014-06-09,2014,6,2,BH-11710,Consumer,TEC-PH-10002275,Technology,Phones,West,California,Los Angeles,store,Standard Class,907.152,6,0.2,90.7152,0.0999999999999999,816.4368000000001,15.1192,1,5
CA-2014-115812,2014-06-09,2014,6,2,BH-11710,Consumer,OFF-BI-10003910,Office Supplies,Binders,West,California,Los Angeles,website,Standard Class,18.504,3,0.2,5.7825,0.3124999999999999,12.721500000000002,1.9275,1,5
CA-2014-115812,2014-06-09,2014,6,2,BH-11710,Consumer,OFF-AP-10002892,Office Supplies,Appliances,West,California,Los Angeles,mobile_app,Standard Class,114.9,5,0.0,34.47,0.3,80.43,6.894,1,5
CA-2014-115812,2014-06-09,2014,6,2,BH-11710,Consumer,FUR-TA-10001539,Furniture,Tables,West,California,Los Angeles,website,Standard Class,1706.184,9,0.2,85.3092,0.05,1620.8748,9.4788,1,5
CA-2014-115812,2014-06-09,2014,6,2,BH-11710,Consumer,TEC-PH-10002033,Technology,Phones,West,California,Los Angeles,store,Standard Class,911.424,4,0.2,68.3568,0.075,843.0672,17.0892,1,5
CA-2017-114412,2017-04-15,2017,4,2,AA-10480,Consumer,OFF-PA-10002365,Office Supplies,Paper,South,North Carolina,Concord,mobile_app,Standard Class,15.552,3,0.2,5.4432,0.35,10.1088,1.8144,1,5
CA-2016-161389,2016-12-05,2016,12,4,IM-15070,Consumer,OFF-BI-10003656,Office Supplies,Binders,West,Washington,Seattle,store,Standard Class,407.976,3,0.2,132.5922,0.3249999999999999,275.3838,44.1974,1,5
US-2015-118983,2015-11-22,2015,11,4,HP-14815,Home Office,OFF-AP-10002311,Office Supplies,Appliances,Central,Texas,Fort Worth,website,Standard Class,68.81,5,0.8,-123.858,-1.8,192.668,-24.7716,0,4
US-2015-118983,2015-11-22,2015,11,4,HP-14815,Home Office,OFF-BI-10000756,Office Supplies,Binders,Central,Texas,Fort Worth,website,Standard Class,2.544,3,0.8,-3.816,-1.5,6.359999999999999,-1.272,0,4
CA-2014-105893,2014-11-11,2014,11,4,PK-19075,Consumer,OFF-ST-10004186,Office Supplies,Storage,Central,Wisconsin,Madison,mobile_app,Standard Class,665.88,6,0.0,13.3176,0.02,652.5624,2.2196,1,7
CA-2014-167164,2014-05-13,2014,5,2,AG-10270,Consumer,OFF-ST-10000107,Office Supplies,Storage,West,Utah,West Jordan,website,Second Class,55.5,2,0.0,9.99,0.18,45.51,4.995,1,2
CA-2014-143336,2014-08-27,2014,8,3,ZD-21925,Consumer,OFF-AR-10003056,Office Supplies,Art,West,California,San Francisco,store,Second Class,8.56,2,0.0,2.4824,0.29,6.0776,1.2412,1,5
CA-2014-143336,2014-08-27,2014,8,3,ZD-21925,Consumer,TEC-PH-10001949,Technology,Phones,West,California,San Francisco,mobile_app,Second Class,213.48,3,0.2,16.011,0.075,197.469,5.337,1,5
CA-2014-143336,2014-08-27,2014,8,3,ZD-21925,Consumer,OFF-BI-10002215,Office Supplies,Binders,West,California,San Francisco,store,Second Class,22.72,4,0.2,7.384,0.325,15.336,1.846,1,5
CA-2016-137330,2016-12-09,2016,12,4,KB-16585,Corporate,OFF-AR-10000246,Office Supplies,Art,Central,Nebraska,Fremont,website,Standard Class,19.46,7,0.0,5.0596,0.2599999999999999,14.4004,0.7228,1,4
CA-2016-137330,2016-12-09,2016,12,4,KB-16585,Corporate,OFF-AP-10001492,Office Supplies,Appliances,Central,Nebraska,Fremont,store,Standard Class,60.34,7,0.0,15.6884,0.2599999999999999,44.6516,2.2412,1,4
US-2017-156909,2017-07-16,2017,7,3,SF-20065,Consumer,FUR-CH-10002774,Furniture,Chairs,East,Pennsylvania,Philadelphia,store,Second Class,71.372,2,0.3,-1.0196,-0.0142857142857142,72.3916,-0.5098,0,2
CA-2015-106320,2015-09-25,2015,9,3,EB-13870,Consumer,FUR-TA-10000577,Furniture,Tables,West,Utah,Orem,store,Standard Class,1044.63,3,0.0,240.2649,0.2299999999999999,804.3651000000001,80.0883,1,5
CA-2016-121755,2016-01-16,2016,1,1,EH-13945,Consumer,OFF-BI-10001634,Office Supplies,Binders,West,California,Los Angeles,website,Second Class,11.648,2,0.2,4.2224,0.3625,7.425599999999999,2.1112,1,4
CA-2016-121755,2016-01-16,2016,1,1,EH-13945,Consumer,TEC-AC-10003027,Technology,Accessories,West,California,Los Angeles,mobile_app,Second Class,90.57,3,0.0,11.7741,0.13,78.79589999999999,3.9247,1,4
US-2015-150630,2015-09-17,2015,9,3,TB-21520,Consumer,FUR-BO-10004834,Furniture,Bookcases,East,Pennsylvania,Philadelphia,website,Standard Class,3083.43,7,0.5,-1665.0522,-0.54,4748.4822,-237.8646,0,4
US-2015-150630,2015-09-17,2015,9,3,TB-21520,Consumer,OFF-BI-10000474,Office Supplies,Binders,East,Pennsylvania,Philadelphia,website,Standard Class,9.618,2,0.7,-7.0532,-0.7333333333333334,16.6712,-3.5266,0,4
US-2015-150630,2015-09-17,2015,9,3,TB-21520,Consumer,FUR-FU-10004848,Furniture,Furnishings,East,Pennsylvania,Philadelphia,mobile_app,Standard Class,124.2,3,0.2,15.525,0.125,108.675,5.175,1,4
US-2015-150630,2015-09-17,2015,9,3,TB-21520,Consumer,OFF-EN-10001509,Office Supplies,Envelopes,East,Pennsylvania,Philadelphia,mobile_app,Standard Class,3.264,2,0.2,1.1016,0.3375,2.1624,0.5508,1,4
US-2015-150630,2015-09-17,2015,9,3,TB-21520,Consumer,OFF-AR-10004042,Office Supplies,Art,East,Pennsylvania,Philadelphia,store,Standard Class,86.304,6,0.2,9.7092,0.1124999999999999,76.5948,1.6182,1,4
US-2015-150630,2015-09-17,2015,9,3,TB-21520,Consumer,OFF-BI-10001525,Office Supplies,Binders,East,Pennsylvania,Philadelphia,website,Standard Class,6.858,6,0.7,-5.715,-0.8333333333333334,12.573,-0.9525,0,4
US-2015-150630,2015-09-17,2015,9,3,TB-21520,Consumer,OFF-AR-10001683,Office Supplies,Art,East,Pennsylvania,Philadelphia,website,Standard Class,15.76,2,0.2,3.546,0.2249999999999999,12.214,1.773,1,4
CA-2017-107727,2017-10-19,2017,10,4,MA-17560,Home Office,OFF-PA-10000249,Office Supplies,Paper,Central,Texas,Houston,mobile_app,Second Class,29.472,3,0.2,9.9468,0.3374999999999999,19.5252,3.3156,1,4
CA-2016-117590,2016-12-08,2016,12,4,GH-14485,Corporate,TEC-PH-10004977,Technology,Phones,Central,Texas,Richardson,website,First Class,1097.544,7,0.2,123.4737,0.1124999999999999,974.0703,17.6391,1,2
CA-2016-117590,2016-12-08,2016,12,4,GH-14485,Corporate,FUR-FU-10003664,Furniture,Furnishings,Central,Texas,Richardson,website,First Class,190.92,5,0.6,-147.963,-0.775,338.883,-29.5926,0,2
CA-2015-117415,2015-12-27,2015,12,4,SN-20710,Home Office,OFF-EN-10002986,Office Supplies,Envelopes,Central,Texas,Houston,mobile_app,Standard Class,113.328,9,0.2,35.415,0.3125,77.91300000000001,3.935,1,4
CA-2015-117415,2015-12-27,2015,12,4,SN-20710,Home Office,FUR-BO-10002545,Furniture,Bookcases,Central,Texas,Houston,website,Standard Class,532.3992,3,0.32,-46.9764,-0.088235294117647,579.3756,-15.6588,0,4
CA-2015-117415,2015-12-27,2015,12,4,SN-20710,Home Office,FUR-CH-10004218,Furniture,Chairs,Central,Texas,Houston,mobile_app,Standard Class,212.058,3,0.3,-15.147,-0.0714285714285714,227.205,-5.049,0,4
CA-2015-117415,2015-12-27,2015,12,4,SN-20710,Home Office,TEC-PH-10000486,Technology,Phones,Central,Texas,Houston,website,Standard Class,371.168,4,0.2,41.7564,0.1125,329.4116,10.4391,1,4
CA-2017-120999,2017-09-10,2017,9,3,LC-16930,Corporate,TEC-PH-10004093,Technology,Phones,Central,Illinois,Naperville,store,Standard Class,147.168,4,0.2,16.5564,0.1124999999999999,130.6116,4.1391,1,5
CA-2016-101343,2016-07-17,2016,7,3,RA-19885,Corporate,OFF-ST-10003479,Office Supplies,Storage,West,California,Los Angeles,mobile_app,Standard Class,77.88,2,0.0,3.894,0.05,73.98599999999999,1.947,1,5
CA-2017-139619,2017-09-19,2017,9,3,ES-14080,Corporate,OFF-ST-10003282,Office Supplies,Storage,South,Florida,Melbourne,website,Standard Class,95.616,2,0.2,9.5616,0.1,86.0544,4.7808,1,4
CA-2016-118255,2016-03-11,2016,3,1,ON-18715,Corporate,TEC-AC-10000171,Technology,Accessories,Central,Minnesota,Eagan,store,First Class,45.98,2,0.0,19.7714,0.43,26.2086,9.8857,1,2
CA-2016-118255,2016-03-11,2016,3,1,ON-18715,Corporate,OFF-BI-10003291,Office Supplies,Binders,Central,Minnesota,Eagan,store,First Class,17.46,2,0.0,8.2062,0.47,9.2538,4.1031,1,2
CA-2014-146703,2014-10-20,2014,10,4,PO-18865,Consumer,OFF-ST-10001713,Office Supplies,Storage,Central,Michigan,Westland,website,Second Class,211.96,4,0.0,8.4784,0.04,203.4816,2.1196,1,5
CA-2016-169194,2016-06-20,2016,6,2,LH-16900,Consumer,TEC-AC-10002167,Technology,Accessories,East,Delaware,Dover,website,Standard Class,45.0,3,0.0,4.95,0.11,40.05,1.65,1,5
